City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Palauig,PH,2021-12-28 17:37:04,15.435,119.9045,75.4,70,18,6.73
124,Bayir,TR,2021-12-28 17:37:04,37.2687,28.2167,52.32,94,68,7.92
125,Georgetown,MY,2021-12-28 17:35:26,5.4112,100.3354,82.33,81,20,5.01
126,Aykhal,RU,2021-12-28 17:37:05,66.0,111.5,-26.55,100,96,7.25
127,Dikson,RU,2021-12-28 17:37:05,73.5069,80.5464,4.21,81,92,13.13
128,Ponta Do Sol,PT,2021-12-28 17:37:06,32.6667,-17.1,68.0,90,63,4.14
129,Olinda,BR,2021-12-28 17:36:54,-8.0089,-34.8553,85.73,62,40,12.66
130,Mubi,NG,2021-12-28 17:37:06,10.2676,13.2644,75.11,22,55,7.11
131,Morgan City,US,2021-12-28 17:37:06,29.6994,-91.2068,80.01,78,90,19.57
132,Provideniya,RU,2021-12-28 17:37:07,64.3833,-173.3,4.05,95,100,25.99
133,Takoradi,GH,2021-12-28 17:37:07,4.8845,-1.7554,82.4,72,100,10.02
134,Saint-Philippe,RE,2021-12-28 17:37:07,-21.3585,55.7679,76.59,85,94,15.35
135,Lithakia,GR,2021-12-28 17:37:08,37.7167,20.8333,56.59,81,100,10.89
136,Itupiranga,BR,2021-12-28 17:32:34,-5.1347,-49.3267,88.12,81,49,3.98
137,Acatlan,MX,2021-12-28 17:38:08,20.15,-98.45,71.38,31,0,5.41
138,Analipsis,GR,2021-12-28 17:38:09,35.3167,25.5667,62.11,76,100,11.63
139,Tiksi,RU,2021-12-28 17:38:09,71.6872,128.8694,-14.17,100,100,6.26
140,Russell,US,2021-12-28 17:38:09,32.3502,-85.1999,74.52,76,75,9.22
141,Ambala,IN,2021-12-28 17:38:10,30.3783,76.7808,50.9,67,39,6.24
142,Aksay,RU,2021-12-28 17:38:10,47.26,39.87,29.25,100,100,3.0
143,Taywarah,AF,2021-12-28 17:38:10,33.35,64.4167,23.34,18,7,2.62
144,Macas,EC,2021-12-28 17:38:11,-2.3167,-78.1167,80.35,69,75,10.36
145,Tromso,NO,2021-12-28 17:38:11,69.6496,18.957,16.38,85,0,2.3
146,Bredasdorp,ZA,2021-12-28 17:38:11,-34.5322,20.0403,65.52,59,96,8.05
147,Nagayo,JP,2021-12-28 17:38:12,32.8242,129.8861,41.36,81,100,3.78
148,Thompson,CA,2021-12-28 17:36:05,55.7435,-97.8558,-11.04,77,90,6.91
149,Santa Rosa,PH,2021-12-28 17:38:12,14.3122,121.1114,78.78,75,64,15.05
150,Mabai,CN,2021-12-28 17:38:13,23.0128,104.4508,47.3,93,100,3.09
151,Tara,RU,2021-12-28 17:38:13,56.8944,74.371,4.69,99,100,5.3
152,Aksarka,RU,2021-12-28 17:38:13,66.5606,67.7975,-7.29,99,99,2.93
153,Liverpool,GB,2021-12-28 17:38:14,53.4106,-2.9779,48.15,95,75,1.99
154,Castro,BR,2021-12-28 17:38:14,-24.7911,-50.0119,68.13,72,33,10.58
155,Qaanaaq,GL,2021-12-28 17:38:14,77.484,-69.3632,-3.15,52,62,7.31
156,Cape Town,ZA,2021-12-28 17:38:15,-33.9258,18.4232,66.88,67,20,1.99
