City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
317,Torbay,47.6666,-52.7314,moderate rain,49.28,94,100,8.01,CA
318,Nizhniy Tsasuchey,50.5167,115.1333,overcast clouds,-5.3,99,100,1.83,RU
319,Ancud,-41.8697,-73.8203,few clouds,79.23,72,13,4.05,CL
320,Merauke,-8.4667,140.3333,very heavy rain,78.28,88,100,14.07,ID
321,Caloundra,-26.8,153.1333,broken clouds,77.9,91,64,5.99,AU
322,Cam Ranh,11.9214,109.1591,scattered clouds,75.16,69,40,11.5,VN
323,Konya,38.1667,32.5,scattered clouds,42.28,80,40,4.9,TR
324,Flinders,-34.5833,150.8552,light rain,74.21,92,100,5.99,AU
325,Rudbar,30.15,62.6,overcast clouds,45.09,74,100,20.29,AF
326,Taksimo,56.3444,114.8794,broken clouds,-4.32,95,70,1.79,RU
327,San Patricio,28.017,-97.5169,clear sky,82.81,28,0,15.93,US
328,Noumea,-22.2763,166.4572,overcast clouds,78.01,99,86,12.28,NC
329,Lazarev,52.225,141.5131,few clouds,-20.76,91,17,3.65,RU
330,Cotonou,6.3654,2.4183,dust,84.18,79,20,8.05,BJ
331,Touros,-5.1989,-35.4608,broken clouds,83.3,72,55,10.71,BR
332,Copiapo,-27.3667,-70.3333,clear sky,71.29,31,0,10.07,CL
333,Lancaster,40.2504,-76.2499,clear sky,37.04,51,0,3.0,US
334,Sibu,2.3,111.8167,scattered clouds,75.51,100,40,3.0,MY
335,Guerrero Negro,27.9769,-114.0611,clear sky,70.36,33,0,4.99,MX
336,Marshalltown,42.0494,-92.908,broken clouds,5.07,66,75,20.71,US
337,Lillehammer,61.1146,10.4674,clear sky,3.88,96,8,3.09,NO
338,Angoche,-16.2325,39.9086,light rain,78.13,87,100,2.93,MZ
339,Qaqortoq,60.7167,-46.0333,scattered clouds,23.5,80,33,17.16,GL
340,Muzhi,65.3667,64.6667,overcast clouds,-20.18,99,100,5.88,RU
341,Maniitsoq,65.4167,-52.9,overcast clouds,19.4,85,100,7.36,GL
342,Chumphon,10.3333,98.8333,broken clouds,64.76,98,79,1.97,TH
343,Katobu,-4.9408,122.5276,overcast clouds,75.65,91,100,1.81,ID
344,Muros,42.7762,-9.0603,overcast clouds,54.84,94,100,12.48,ES
345,Si Sa Ket,14.8333,104.3333,few clouds,73.22,84,13,5.37,TH
